trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
166,False,"{'e': 0.07761505257063328, 'a': 0.5}",20,8,7.250105156037886,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'e': 0.07738232325341368, 'a': 0.5}",25,0,22.373535843598518,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
168,False,"{'e': 0.07715167498104596, 'a': 0.5}",25,0,26.74592671863726,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
169,False,"{'e': 0.07692307692307693, 'a': 0.5}",20,16,7.621587140707931,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'e': 0.07669649888473704, 'a': 0.5}",25,0,20.67789227898267,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
171,False,"{'e': 0.07647191129018725, 'a': 0.5}",20,0,18.884685628526924,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
172,False,"{'e': 0.07624928516630233, 'a': 0.5}",25,0,-8.31854543765876,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
173,False,"{'e': 0.07602859212697055, 'a': 0.5}",20,0,13.062933647954877,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
174,False,"{'e': 0.07580980435789034, 'a': 0.5}",20,0,21.58224266957848,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
175,False,"{'e': 0.07559289460184544, 'a': 0.5}",35,0,-4.825612372925738,"{0: 33, 1: 1, 2: 0, 3: 0, 4: 1}",0
176,False,"{'e': 0.07537783614444091, 'a': 0.5}",30,0,41.1563684243915,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
177,False,"{'e': 0.07516460280028289, 'a': 0.5}",30,0,1.1683838038150354,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
178,False,"{'e': 0.07495316889958614, 'a': 0.5}",30,0,32.28443023350648,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
179,False,"{'e': 0.07474350927519359, 'a': 0.5}",20,10,-39.69069421490433,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
180,False,"{'e': 0.07453559924999299, 'a': 0.5}",20,0,-29.923825302167486,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
181,False,"{'e': 0.07432941462471664, 'a': 0.5}",20,0,-8.278747895739466,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
182,False,"{'e': 0.07412493166611012, 'a': 0.5}",30,0,20.45911356014609,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
183,False,"{'e': 0.07392212709545729, 'a': 0.5}",20,15,8.203738772606966,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
